[5330, 2023, 0, 0, 0, 30, 8353.0, 1, 0, 1, 0, 0, 237, 703, 0, 0, 0]
[12797, 2023, 0, 0, 0, 30, 8215.0, 0, 0, 2, 0, 1, 841, 5269, 0, 0, 0]
[16195, 2023, 0, 0, 0, 30, 9384.0, 1, 0, 1, 0, 1, 1418, 9667, 0, 0, 0]
[11147, 2023, 0, 0, 0, 30, 6453.0, 0, 0, 1, 0, 0, 1213, 4060, 0, 0, 0]
[4265, 2023, 0, 0, 0, 30, 6834.0, 1, 1, 2, 0, 0, 1850, 8147, 0, 0, 0]
[199, 2023, 0, 0, 0, 30, 15121.0, 0, 0, 1, 1, 0, 27659, 3050, 21011, 0, 0]
[13009, 2023, 0, 0, 0, 30, 10946.0, 1, 0, 4, 0, 0, 1860, 11602, 0, 0, 0]
[7884, 2023, 0, 0, 0, 30, 6747.0, 1, 0, 4, 0, 0, 1805, 3281, 0, 0, 0]
[17644, 2023, 0, 0, 0, 30, 19002.0, 1, 1, 1, 0, 1, 1430, 763, 0, 0, 0]
[953, 2023, 0, 0, 0, 30, 10703.0, 1, 0, 2, 0, 0, 2193, 7239, 0, 0, 1]
[16687, 2023, 0, 0, 0, 30, 10398.0, 1, 1, 2, 0, 0, 535, 10705, 0, 0, 0]
[12804, 2023, 0, 0, 0, 30, 9098.0, 1, 0, 0, 0, 0, 1017, 1151, 0, 0, 0]
[17284, 2023, 0, 0, 0, 30, 5078.0, 1, 1, 4, 0, 0, 1607, 2675, 0, 0, 0]
[19003, 2023, 0, 0, 0, 30, 13386.0, 0, 0, 4, 1, 0, 1030, 2397, 15825, 0, 0]
[14148, 2023, 0, 0, 0, 30, 8373.0, 0, 0, 1, 0, 0, 2022, 9292, 0, 0, 0]
[12829, 2023, 0, 0, 0, 30, 7127.0, 0, 0, 4, 0, 0, 1536, 8381, 0, 1, 0]
[4718, 2023, 0, 0, 0, 30, 6529.0, 1, 0, 1, 0, 0, 746, 2801, 0, 0, 0]
[15459, 2023, 0, 0, 0, 30, 7549.0, 0, 0, 0, 0, 0, 1045, 2244, 0, 0, 1]
[12906, 2023, 0, 0, 0, 30, 10799.0, 1, 0, 4, 0, 1, 382, 7628, 0, 0, 0]
[7115, 2023, 0, 0, 0, 30, 7282.0, 1, 1, 1, 0, 0, 983, 9941, 0, 0, 0]
[3402, 2023, 0, 0, 0, 30, 7482.0, 1, 1, 0, 0, 1, 1571, 3804, 0, 0, 0]
[7080, 2023, 0, 0, 0, 30, 10465.0, 0, 0, 1, 0, 0, 1852, 3289, 0, 1, 0]
[15716, 2023, 0, 0, 0, 30, 6874.0, 1, 0, 4, 0, 0, 1884, 2881, 0, 0, 0]
[19430, 2023, 0, 0, 0, 30, 13631.0, 0, 0, 2, 1, 0, 1269, 850, 17862, 0, 0]
[10203, 2023, 0, 0, 0, 30, 10254.0, 0, 0, 0, 0, 0, 1175, 1069, 0, 0, 0]
[8732, 2023, 0, 0, 0, 30, 10946.0, 1, 0, 0, 0, 0, 2734, 1423, 0, 0, 0]
[17279, 2023, 0, 0, 0, 30, 13473.0, 1, 1, 4, 0, 0, 1243, 6813, 0, 0, 0]
[10872, 2023, 0, 0, 0, 30, 9772.0, 1, 0, 2, 0, 0, 1136, 5202, 0, 1, 0]
